context,question,answer_start,text,wiki_context,search
"The university first offered graduate degrees, in the form of a Master of Arts (MA), in the 1854–1855 academic year. The program expanded to include Master of Laws (LL.M.) and Master of Civil Engineering in its early stages of growth, before a formal graduate school education was developed with a thesis not required to receive the degrees. This changed in 1924 with formal requirements developed for graduate degrees, including offering Doctorate (PhD) degrees. Today each of the five colleges offer graduate education. Most of the departments from the College of Arts and Letters offer PhD programs, while a professional Master of Divinity (M.Div.) program also exists. All of the departments in the College of Science offer PhD programs, except for the Department of Pre-Professional Studies. The School of Architecture offers a Master of Architecture, while each of the departments of the College of Engineering offer PhD programs. The College of Business offers multiple professional programs including MBA and Master of Science in Accountancy programs. It also operates facilities in Chicago and Cincinnati for its executive MBA program. Additionally, the Alliance for Catholic Education program offers a Master of Education program where students study at the university during the summer and teach in Catholic elementary schools, middle schools, and high schools across the Southern United States for two school years.",In what year was a Master of Arts course first offered at Notre Dame?,92,1854,"The Notre Dame Fighting Irish football team is the intercollegiate football team representing the University of Notre Dame in Notre Dame, Indiana. The team is currently coached by Brian Kelly and plays its home games at the campus's Notre Dame Stadium, which has a capacity of 77,622. Notre Dame is one of six schools that competes as an Independent at the National Collegiate Athletic Association (NCAA) Football Bowl Subdivision level; however, they play five games a year against opponents from the Atlantic Coast Conference (ACC), which Notre Dame is a member of in all other sports except ice hockey.Notre Dame is one of the most iconic and successful programs in college football. The school claims 11 national championships, but the NCAA recognizes the school with 13.
Moreover, Notre Dame has 21 national championships recognized by all major selectors; this is tied with Alabama for the most in the FBS. Notre Dame and Ohio State share the record of seven Heisman Trophy winners, but Notre Dame leads Ohio State by the number of individual winners. Notre Dame has produced 101 consensus All-Americans, 34 unanimous All-Americans, 52 members of the College Football Hall of Fame, and 13 members of the NFL Hall of Fame, all NCAA records. Notre Dame has had 495 players selected in the NFL Draft, second only to USC.All Notre Dame home games have been televised by NBC since 1991, and Notre Dame is the only school to have such a contract. It was the only independent program to be part of the Bowl Championship Series coalition and its guaranteed payout, and it has one of the largest, most widespread fan bases in college football. These factors help make Notre Dame one of the most financially valuable football programs in the country, which allows the school to remain an independent.",year Master Arts course Notre Dame 
"The university first offered graduate degrees, in the form of a Master of Arts (MA), in the 1854–1855 academic year. The program expanded to include Master of Laws (LL.M.) and Master of Civil Engineering in its early stages of growth, before a formal graduate school education was developed with a thesis not required to receive the degrees. This changed in 1924 with formal requirements developed for graduate degrees, including offering Doctorate (PhD) degrees. Today each of the five colleges offer graduate education. Most of the departments from the College of Arts and Letters offer PhD programs, while a professional Master of Divinity (M.Div.) program also exists. All of the departments in the College of Science offer PhD programs, except for the Department of Pre-Professional Studies. The School of Architecture offers a Master of Architecture, while each of the departments of the College of Engineering offer PhD programs. The College of Business offers multiple professional programs including MBA and Master of Science in Accountancy programs. It also operates facilities in Chicago and Cincinnati for its executive MBA program. Additionally, the Alliance for Catholic Education program offers a Master of Education program where students study at the university during the summer and teach in Catholic elementary schools, middle schools, and high schools across the Southern United States for two school years.",Which department at Notre Dame is the only one to not offer a PhD program?,757,Department of Pre-Professional Studies,"The University of Notre Dame du Lac (or simply Notre Dame  NOH-tər-DAYM or ND) is a private, non-profit Catholic research university in the community of Notre Dame, Indiana, near the city of South Bend, in the United States. The main campus covers 1,250 acres (510 ha) in a suburban setting and it contains a number of recognizable landmarks, such as the Golden Dome, the ""Word of Life"" mural (commonly known as Touchdown Jesus), the Notre Dame Stadium, and the Basilica. The school was founded on November 26, 1842, by Father Edward Sorin, CSC, who was also its first president.
Notre Dame is consistently recognized as one of the top universities in the United States, in particular for its undergraduate education. Undergraduate students are organized into six colleges, Arts and Letters, Science, Engineering, Business, Architecture and Global Affairs. The School of Architecture is known for teaching New Classical Architecture and for awarding the globally renowned annual Driehaus Architecture Prize. The university offers over 50 foreign study abroad yearlong programs and over 15 summer programs. Notre Dame's graduate program has more than 50 master, doctoral and professional degree programs offered by the five schools, with the addition of the Notre Dame Law School and a MD-PhD program offered in combination with the Indiana University School of Medicine. It maintains a system of libraries, cultural venues, artistic and scientific museums, including the Hesburgh Library and the Snite Museum of Art. The majority of the university's 8,000 undergraduates live on campus in one of 31 residence halls, each with its own traditions, legacies, events, and intramural sports teams. The university counts approximately 134,000 alumni, considered among the strongest alumni networks among U.S. colleges.The university's athletic teams are members of the NCAA Division I and are known collectively as the Fighting Irish. Notre Dame is known for its football team, which contributed to its rise to prominence on the national stage in the early 20th century; the team an Independent with no conference affiliation, has accumulated eleven consensus national championships, seven Heisman Trophy winners, 62 members in the College Football Hall of Fame, and 13 members in the Pro Football Hall of Fame. Other ND sport teams, chiefly in the Atlantic Coast Conference, have accumulated 17 national championships. The Notre Dame Victory March is often regarded as one of the most famous and recognizable collegiate fight songs.
Started as a small all-male institution in 1842 and charter in 1844, Notre Dame reached international fame at the beginning of the 20th century, aided by the success of its football team under the guidance of coach Knute Rockne. Major improvements to the university occurred during the administration of the Rev. Theodore Hesburgh between 1952 and 1987 as Hesburgh's administration greatly increased the university's resources, academic programs, and reputation and first enrolled women undergraduates in 1972. Ever since, the University has seen steady growth, and under the leadership of the next two presidents, Rev. Malloy and Rev. Jenkins, many infrastructure and research expansions have been completed. Notre Dame's growth has continued in the 21st century, and it currently possesses one of the largest endowments of any U.S. university, at $13.1 billion.",department Notre Dame one PhD program 
"The Joan B. Kroc Institute for International Peace Studies at the University of Notre Dame is dedicated to research, education and outreach on the causes of violent conflict and the conditions for sustainable peace. It offers PhD, Master's, and undergraduate degrees in peace studies. It was founded in 1986 through the donations of Joan B. Kroc, the widow of McDonald's owner Ray Kroc. The institute was inspired by the vision of the Rev. Theodore M. Hesburgh CSC, President Emeritus of the University of Notre Dame. The institute has contributed to international policy discussions about peace building practices.",What institute at Notre Dame studies  the reasons for violent conflict?,4,Joan B. Kroc Institute for International Peace Studies,"The University of Notre Dame du Lac (or simply Notre Dame  NOH-tər-DAYM or ND) is a private, non-profit Catholic research university in the community of Notre Dame, Indiana, near the city of South Bend, in the United States. The main campus covers 1,250 acres (510 ha) in a suburban setting and it contains a number of recognizable landmarks, such as the Golden Dome, the ""Word of Life"" mural (commonly known as Touchdown Jesus), the Notre Dame Stadium, and the Basilica. The school was founded on November 26, 1842, by Father Edward Sorin, CSC, who was also its first president.
Notre Dame is consistently recognized as one of the top universities in the United States, in particular for its undergraduate education. Undergraduate students are organized into six colleges, Arts and Letters, Science, Engineering, Business, Architecture and Global Affairs. The School of Architecture is known for teaching New Classical Architecture and for awarding the globally renowned annual Driehaus Architecture Prize. The university offers over 50 foreign study abroad yearlong programs and over 15 summer programs. Notre Dame's graduate program has more than 50 master, doctoral and professional degree programs offered by the five schools, with the addition of the Notre Dame Law School and a MD-PhD program offered in combination with the Indiana University School of Medicine. It maintains a system of libraries, cultural venues, artistic and scientific museums, including the Hesburgh Library and the Snite Museum of Art. The majority of the university's 8,000 undergraduates live on campus in one of 31 residence halls, each with its own traditions, legacies, events, and intramural sports teams. The university counts approximately 134,000 alumni, considered among the strongest alumni networks among U.S. colleges.The university's athletic teams are members of the NCAA Division I and are known collectively as the Fighting Irish. Notre Dame is known for its football team, which contributed to its rise to prominence on the national stage in the early 20th century; the team an Independent with no conference affiliation, has accumulated eleven consensus national championships, seven Heisman Trophy winners, 62 members in the College Football Hall of Fame, and 13 members in the Pro Football Hall of Fame. Other ND sport teams, chiefly in the Atlantic Coast Conference, have accumulated 17 national championships. The Notre Dame Victory March is often regarded as one of the most famous and recognizable collegiate fight songs.
Started as a small all-male institution in 1842 and charter in 1844, Notre Dame reached international fame at the beginning of the 20th century, aided by the success of its football team under the guidance of coach Knute Rockne. Major improvements to the university occurred during the administration of the Rev. Theodore Hesburgh between 1952 and 1987 as Hesburgh's administration greatly increased the university's resources, academic programs, and reputation and first enrolled women undergraduates in 1972. Ever since, the University has seen steady growth, and under the leadership of the next two presidents, Rev. Malloy and Rev. Jenkins, many infrastructure and research expansions have been completed. Notre Dame's growth has continued in the 21st century, and it currently possesses one of the largest endowments of any U.S. university, at $13.1 billion.",institute Notre Dame studies reasons conflict 
"The Joan B. Kroc Institute for International Peace Studies at the University of Notre Dame is dedicated to research, education and outreach on the causes of violent conflict and the conditions for sustainable peace. It offers PhD, Master's, and undergraduate degrees in peace studies. It was founded in 1986 through the donations of Joan B. Kroc, the widow of McDonald's owner Ray Kroc. The institute was inspired by the vision of the Rev. Theodore M. Hesburgh CSC, President Emeritus of the University of Notre Dame. The institute has contributed to international policy discussions about peace building practices.",What is the title of Notre Dame's Theodore Hesburgh?,466,President Emeritus of the University of Notre Dame,"Theodore Hesburgh Library  is the primary building of the University of Notre Dame's library system. The present-day building 
opened on September 18, 1963, as Memorial Library. In 1987 it was renamed Hesburgh Library in honor of Father Theodore Hesburgh, C.S.C., who served as the university's president from 1952 to 1987. The library's exterior façade that faces the university's football stadium includes a large, 134-foot (41 m) by 68-foot (21 m) mural called ""The Word of Life,"" or more commonly known as ""Touchdown Jesus."" As of 2009, the library ranked as the 61st largest collection among research universities in the United States with an estimated 3.39 million volumes.",title Notre Dame Theodore Hesburgh 
"The Joan B. Kroc Institute for International Peace Studies at the University of Notre Dame is dedicated to research, education and outreach on the causes of violent conflict and the conditions for sustainable peace. It offers PhD, Master's, and undergraduate degrees in peace studies. It was founded in 1986 through the donations of Joan B. Kroc, the widow of McDonald's owner Ray Kroc. The institute was inspired by the vision of the Rev. Theodore M. Hesburgh CSC, President Emeritus of the University of Notre Dame. The institute has contributed to international policy discussions about peace building practices.",In what year was the Joan B. Kroc Institute for International Peace Studies founded?,303,1986,"Joan Beverly Kroc (née Mansfield, previously Smith; August 27, 1928 – October 12, 2003), also known as Joni, was an American philanthropist. The third wife of McDonald's CEO Ray Kroc, she was also known for her involvement in the McDonald's organization.",year Joan B. Kroc Institute International Peace Studies 
"The Joan B. Kroc Institute for International Peace Studies at the University of Notre Dame is dedicated to research, education and outreach on the causes of violent conflict and the conditions for sustainable peace. It offers PhD, Master's, and undergraduate degrees in peace studies. It was founded in 1986 through the donations of Joan B. Kroc, the widow of McDonald's owner Ray Kroc. The institute was inspired by the vision of the Rev. Theodore M. Hesburgh CSC, President Emeritus of the University of Notre Dame. The institute has contributed to international policy discussions about peace building practices.",To whom was John B. Kroc married?,377,Ray Kroc,"Joan Beverly Kroc (née Mansfield, previously Smith; August 27, 1928 – October 12, 2003), also known as Joni, was an American philanthropist. The third wife of McDonald's CEO Ray Kroc, she was also known for her involvement in the McDonald's organization.",John B. Kroc 
"The Joan B. Kroc Institute for International Peace Studies at the University of Notre Dame is dedicated to research, education and outreach on the causes of violent conflict and the conditions for sustainable peace. It offers PhD, Master's, and undergraduate degrees in peace studies. It was founded in 1986 through the donations of Joan B. Kroc, the widow of McDonald's owner Ray Kroc. The institute was inspired by the vision of the Rev. Theodore M. Hesburgh CSC, President Emeritus of the University of Notre Dame. The institute has contributed to international policy discussions about peace building practices.",What company did Ray Kroc own?,360,McDonald's,"Raymond Albert ""Ray"" Kroc (October 5, 1902 – January 14, 1984) was an American businessman. He joined the California company McDonald's in 1954, just a few months after the McDonald brothers had branched out from their original 1940 operation in San Bernardino, with Kroc turning the chain into a nationwide and eventually global franchise, making it the most successful fast food corporation in the world. Controversially, Kroc would present himself as the founder of McDonald's during his later life. Kroc was included in Time 100: The Most Important People of the Century, and amassed a fortune during his lifetime. He owned the San Diego Padres baseball team from 1974 until his death in 1984.",company Ray Kroc 
"The library system of the university is divided between the main library and each of the colleges and schools. The main building is the 14-story Theodore M. Hesburgh Library, completed in 1963, which is the third building to house the main collection of books. The front of the library is adorned with the Word of Life mural designed by artist Millard Sheets. This mural is popularly known as ""Touchdown Jesus"" because of its proximity to Notre Dame Stadium and Jesus' arms appearing to make the signal for a touchdown.",How many stories tall is the main library at Notre Dame?,136,14,"The Hunchback of Notre-Dame (French: Notre-Dame de Paris, ""Our Lady of Paris"") is a French Romantic/Gothic novel by Victor Hugo, published in 1831.",stories library Notre Dame 
"The library system of the university is divided between the main library and each of the colleges and schools. The main building is the 14-story Theodore M. Hesburgh Library, completed in 1963, which is the third building to house the main collection of books. The front of the library is adorned with the Word of Life mural designed by artist Millard Sheets. This mural is popularly known as ""Touchdown Jesus"" because of its proximity to Notre Dame Stadium and Jesus' arms appearing to make the signal for a touchdown.",What is the name of the main library at Notre Dame?,145,Theodore M. Hesburgh Library,"The Hunchback of Notre-Dame (French: Notre-Dame de Paris, ""Our Lady of Paris"") is a French Romantic/Gothic novel by Victor Hugo, published in 1831.",name library Notre Dame 
"The library system of the university is divided between the main library and each of the colleges and schools. The main building is the 14-story Theodore M. Hesburgh Library, completed in 1963, which is the third building to house the main collection of books. The front of the library is adorned with the Word of Life mural designed by artist Millard Sheets. This mural is popularly known as ""Touchdown Jesus"" because of its proximity to Notre Dame Stadium and Jesus' arms appearing to make the signal for a touchdown.",In what year was the Theodore M. Hesburgh Library at Notre Dame finished?,188,1963,"Rev. Theodore Martin Hesburgh, CSC (May 25, 1917 – February 26, 2015) was a native of Syracuse, New York, who became an ordained priest of the Congregation of Holy Cross and is best known for his service as the president of the University of Notre Dame for thirty-five years (1952–1987). In addition to his career as an educator and author, Hesburgh was a public servant and social activist involved in numerous American civic and governmental initiatives, commissions, and international humanitarian projects. Hesburgh received numerous honors and awards for his service, most notably the United States's Presidential Medal of Freedom (1964) and Congressional Gold Medal (2000). As of 2013, he also held the world's record for the individual with most honorary degrees with more than 150.
Hesburgh is credited with bringing Notre Dame, long known for its football program, to the forefront of American Catholic universities and its transition to a nationally respected institution of higher education. He supervised the university's dramatic growth, as well as the successful transfer of its ownership from Holy Cross priests to the Notre Dame Board of Trustees in 1967. During his tenure as president, the university also became a coeducational institution. 
In addition to his service to Notre Dame, Hesburgh held leadership positions in numerous groups involved in civil rights, peaceful uses of atomic energy, immigration reform, and Third World development. Hesburgh was also active on the boards of numerous businesses, nonprofits, civic organizations, and Vatican missions.",year Theodore M. Hesburgh Library Notre Dame 
"The library system of the university is divided between the main library and each of the colleges and schools. The main building is the 14-story Theodore M. Hesburgh Library, completed in 1963, which is the third building to house the main collection of books. The front of the library is adorned with the Word of Life mural designed by artist Millard Sheets. This mural is popularly known as ""Touchdown Jesus"" because of its proximity to Notre Dame Stadium and Jesus' arms appearing to make the signal for a touchdown.",Which artist created the mural on the Theodore M. Hesburgh Library?,344,Millard Sheets,"Theodore Hesburgh Library  is the primary building of the University of Notre Dame's library system. The present-day building 
opened on September 18, 1963, as Memorial Library. In 1987 it was renamed Hesburgh Library in honor of Father Theodore Hesburgh, C.S.C., who served as the university's president from 1952 to 1987. The library's exterior façade that faces the university's football stadium includes a large, 134-foot (41 m) by 68-foot (21 m) mural called ""The Word of Life,"" or more commonly known as ""Touchdown Jesus."" As of 2009, the library ranked as the 61st largest collection among research universities in the United States with an estimated 3.39 million volumes.",artist mural Theodore M. Hesburgh Library 
"The library system of the university is divided between the main library and each of the colleges and schools. The main building is the 14-story Theodore M. Hesburgh Library, completed in 1963, which is the third building to house the main collection of books. The front of the library is adorned with the Word of Life mural designed by artist Millard Sheets. This mural is popularly known as ""Touchdown Jesus"" because of its proximity to Notre Dame Stadium and Jesus' arms appearing to make the signal for a touchdown.",What is a common name to reference the mural created by Millard Sheets at Notre Dame?,394,Touchdown Jesus,"Millard Owen Sheets (June 24, 1907 – March 31, 1989) was an American painter and a representative of California Scene Painting, later a teacher and educational director, and architectural designer of more than 50 branch banks in Southern California.",name Millard Sheets Notre Dame 
"Notre Dame is known for its competitive admissions, with the incoming class enrolling in fall 2015 admitting 3,577 from a pool of 18,156 (19.7%). The academic profile of the enrolled class continues to rate among the top 10 to 15 in the nation for national research universities. The university practices a non-restrictive early action policy that allows admitted students to consider admission to Notre Dame as well as any other colleges to which they were accepted. 1,400 of the 3,577 (39.1%) were admitted under the early action plan. Admitted students came from 1,311 high schools and the average student traveled more than 750 miles to Notre Dame, making it arguably the most representative university in the United States. While all entering students begin in the College of the First Year of Studies, 25% have indicated they plan to study in the liberal arts or social sciences, 24% in engineering, 24% in business, 24% in science, and 3% in architecture.",How many incoming students did Notre Dame admit in fall 2015?,109,"3,577","The University of Notre Dame du Lac (or simply Notre Dame  NOH-tər-DAYM or ND) is a private, non-profit Catholic research university in the community of Notre Dame, Indiana, near the city of South Bend, in the United States. The main campus covers 1,250 acres (510 ha) in a suburban setting and it contains a number of recognizable landmarks, such as the Golden Dome, the ""Word of Life"" mural (commonly known as Touchdown Jesus), the Notre Dame Stadium, and the Basilica. The school was founded on November 26, 1842, by Father Edward Sorin, CSC, who was also its first president.
Notre Dame is consistently recognized as one of the top universities in the United States, in particular for its undergraduate education. Undergraduate students are organized into six colleges, Arts and Letters, Science, Engineering, Business, Architecture and Global Affairs. The School of Architecture is known for teaching New Classical Architecture and for awarding the globally renowned annual Driehaus Architecture Prize. The university offers over 50 foreign study abroad yearlong programs and over 15 summer programs. Notre Dame's graduate program has more than 50 master, doctoral and professional degree programs offered by the five schools, with the addition of the Notre Dame Law School and a MD-PhD program offered in combination with the Indiana University School of Medicine. It maintains a system of libraries, cultural venues, artistic and scientific museums, including the Hesburgh Library and the Snite Museum of Art. The majority of the university's 8,000 undergraduates live on campus in one of 31 residence halls, each with its own traditions, legacies, events, and intramural sports teams. The university counts approximately 134,000 alumni, considered among the strongest alumni networks among U.S. colleges.The university's athletic teams are members of the NCAA Division I and are known collectively as the Fighting Irish. Notre Dame is known for its football team, which contributed to its rise to prominence on the national stage in the early 20th century; the team an Independent with no conference affiliation, has accumulated eleven consensus national championships, seven Heisman Trophy winners, 62 members in the College Football Hall of Fame, and 13 members in the Pro Football Hall of Fame. Other ND sport teams, chiefly in the Atlantic Coast Conference, have accumulated 17 national championships. The Notre Dame Victory March is often regarded as one of the most famous and recognizable collegiate fight songs.
Started as a small all-male institution in 1842 and charter in 1844, Notre Dame reached international fame at the beginning of the 20th century, aided by the success of its football team under the guidance of coach Knute Rockne. Major improvements to the university occurred during the administration of the Rev. Theodore Hesburgh between 1952 and 1987 as Hesburgh's administration greatly increased the university's resources, academic programs, and reputation and first enrolled women undergraduates in 1972. Ever since, the University has seen steady growth, and under the leadership of the next two presidents, Rev. Malloy and Rev. Jenkins, many infrastructure and research expansions have been completed. Notre Dame's growth has continued in the 21st century, and it currently possesses one of the largest endowments of any U.S. university, at $13.1 billion.",students Notre Dame admit fall 
"Notre Dame is known for its competitive admissions, with the incoming class enrolling in fall 2015 admitting 3,577 from a pool of 18,156 (19.7%). The academic profile of the enrolled class continues to rate among the top 10 to 15 in the nation for national research universities. The university practices a non-restrictive early action policy that allows admitted students to consider admission to Notre Dame as well as any other colleges to which they were accepted. 1,400 of the 3,577 (39.1%) were admitted under the early action plan. Admitted students came from 1,311 high schools and the average student traveled more than 750 miles to Notre Dame, making it arguably the most representative university in the United States. While all entering students begin in the College of the First Year of Studies, 25% have indicated they plan to study in the liberal arts or social sciences, 24% in engineering, 24% in business, 24% in science, and 3% in architecture.",What percentage of students were admitted to Notre Dame in fall 2015?,138,19.7%,"The Notre Dame Fighting Irish football team is the intercollegiate football team representing the University of Notre Dame in Notre Dame, Indiana. The team is currently coached by Brian Kelly and plays its home games at the campus's Notre Dame Stadium, which has a capacity of 77,622. Notre Dame is one of six schools that competes as an Independent at the National Collegiate Athletic Association (NCAA) Football Bowl Subdivision level; however, they play five games a year against opponents from the Atlantic Coast Conference (ACC), which Notre Dame is a member of in all other sports except ice hockey.Notre Dame is one of the most iconic and successful programs in college football. The school claims 11 national championships, but the NCAA recognizes the school with 13.
Moreover, Notre Dame has 21 national championships recognized by all major selectors; this is tied with Alabama for the most in the FBS. Notre Dame and Ohio State share the record of seven Heisman Trophy winners, but Notre Dame leads Ohio State by the number of individual winners. Notre Dame has produced 101 consensus All-Americans, 34 unanimous All-Americans, 52 members of the College Football Hall of Fame, and 13 members of the NFL Hall of Fame, all NCAA records. Notre Dame has had 495 players selected in the NFL Draft, second only to USC.All Notre Dame home games have been televised by NBC since 1991, and Notre Dame is the only school to have such a contract. It was the only independent program to be part of the Bowl Championship Series coalition and its guaranteed payout, and it has one of the largest, most widespread fan bases in college football. These factors help make Notre Dame one of the most financially valuable football programs in the country, which allows the school to remain an independent.",percentage students Notre Dame fall 
"Notre Dame is known for its competitive admissions, with the incoming class enrolling in fall 2015 admitting 3,577 from a pool of 18,156 (19.7%). The academic profile of the enrolled class continues to rate among the top 10 to 15 in the nation for national research universities. The university practices a non-restrictive early action policy that allows admitted students to consider admission to Notre Dame as well as any other colleges to which they were accepted. 1,400 of the 3,577 (39.1%) were admitted under the early action plan. Admitted students came from 1,311 high schools and the average student traveled more than 750 miles to Notre Dame, making it arguably the most representative university in the United States. While all entering students begin in the College of the First Year of Studies, 25% have indicated they plan to study in the liberal arts or social sciences, 24% in engineering, 24% in business, 24% in science, and 3% in architecture.",Where does Notre Dame rank in terms of academic profile among research universities in the US?,213,the top 10 to 15 in the nation,"This list of the University of Notre Dame alumni, includes graduates, non-graduate former students, and current students of Notre Dame and its graduate and professional schools. Since the university's founding in 1842, there have been 162 commencement exercises at the university. Although only two degrees were awarded to the first class in 1849, today the living alumni, known collectively as the ""Fighting Irish"", number near 120,000.",Notre Dame rank terms profile research universities US 
"Notre Dame is known for its competitive admissions, with the incoming class enrolling in fall 2015 admitting 3,577 from a pool of 18,156 (19.7%). The academic profile of the enrolled class continues to rate among the top 10 to 15 in the nation for national research universities. The university practices a non-restrictive early action policy that allows admitted students to consider admission to Notre Dame as well as any other colleges to which they were accepted. 1,400 of the 3,577 (39.1%) were admitted under the early action plan. Admitted students came from 1,311 high schools and the average student traveled more than 750 miles to Notre Dame, making it arguably the most representative university in the United States. While all entering students begin in the College of the First Year of Studies, 25% have indicated they plan to study in the liberal arts or social sciences, 24% in engineering, 24% in business, 24% in science, and 3% in architecture.",What percentage of students at Notre Dame participated in the Early Action program?,488,39.1%,"The Notre Dame Fighting Irish football team is the intercollegiate football team representing the University of Notre Dame in Notre Dame, Indiana. The team is currently coached by Brian Kelly and plays its home games at the campus's Notre Dame Stadium, which has a capacity of 77,622. Notre Dame is one of six schools that competes as an Independent at the National Collegiate Athletic Association (NCAA) Football Bowl Subdivision level; however, they play five games a year against opponents from the Atlantic Coast Conference (ACC), which Notre Dame is a member of in all other sports except ice hockey.Notre Dame is one of the most iconic and successful programs in college football. The school claims 11 national championships, but the NCAA recognizes the school with 13.
Moreover, Notre Dame has 21 national championships recognized by all major selectors; this is tied with Alabama for the most in the FBS. Notre Dame and Ohio State share the record of seven Heisman Trophy winners, but Notre Dame leads Ohio State by the number of individual winners. Notre Dame has produced 101 consensus All-Americans, 34 unanimous All-Americans, 52 members of the College Football Hall of Fame, and 13 members of the NFL Hall of Fame, all NCAA records. Notre Dame has had 495 players selected in the NFL Draft, second only to USC.All Notre Dame home games have been televised by NBC since 1991, and Notre Dame is the only school to have such a contract. It was the only independent program to be part of the Bowl Championship Series coalition and its guaranteed payout, and it has one of the largest, most widespread fan bases in college football. These factors help make Notre Dame one of the most financially valuable football programs in the country, which allows the school to remain an independent.",percentage students Notre Dame Action program 
"Notre Dame is known for its competitive admissions, with the incoming class enrolling in fall 2015 admitting 3,577 from a pool of 18,156 (19.7%). The academic profile of the enrolled class continues to rate among the top 10 to 15 in the nation for national research universities. The university practices a non-restrictive early action policy that allows admitted students to consider admission to Notre Dame as well as any other colleges to which they were accepted. 1,400 of the 3,577 (39.1%) were admitted under the early action plan. Admitted students came from 1,311 high schools and the average student traveled more than 750 miles to Notre Dame, making it arguably the most representative university in the United States. While all entering students begin in the College of the First Year of Studies, 25% have indicated they plan to study in the liberal arts or social sciences, 24% in engineering, 24% in business, 24% in science, and 3% in architecture.",How many miles does the average student at Notre Dame travel to study there?,618,more than 750 miles,"The Notre Dame Fighting Irish football team is the intercollegiate football team representing the University of Notre Dame in Notre Dame, Indiana. The team is currently coached by Brian Kelly and plays its home games at the campus's Notre Dame Stadium, which has a capacity of 77,622. Notre Dame is one of six schools that competes as an Independent at the National Collegiate Athletic Association (NCAA) Football Bowl Subdivision level; however, they play five games a year against opponents from the Atlantic Coast Conference (ACC), which Notre Dame is a member of in all other sports except ice hockey.Notre Dame is one of the most iconic and successful programs in college football. The school claims 11 national championships, but the NCAA recognizes the school with 13.
Moreover, Notre Dame has 21 national championships recognized by all major selectors; this is tied with Alabama for the most in the FBS. Notre Dame and Ohio State share the record of seven Heisman Trophy winners, but Notre Dame leads Ohio State by the number of individual winners. Notre Dame has produced 101 consensus All-Americans, 34 unanimous All-Americans, 52 members of the College Football Hall of Fame, and 13 members of the NFL Hall of Fame, all NCAA records. Notre Dame has had 495 players selected in the NFL Draft, second only to USC.All Notre Dame home games have been televised by NBC since 1991, and Notre Dame is the only school to have such a contract. It was the only independent program to be part of the Bowl Championship Series coalition and its guaranteed payout, and it has one of the largest, most widespread fan bases in college football. These factors help make Notre Dame one of the most financially valuable football programs in the country, which allows the school to remain an independent.",miles student Notre Dame travel 
"In 2015-2016, Notre Dame ranked 18th overall among ""national universities"" in the United States in U.S. News & World Report's Best Colleges 2016. In 2014, USA Today ranked Notre Dame 10th overall for American universities based on data from College Factual. Forbes.com's America's Best Colleges ranks Notre Dame 13th among colleges in the United States in 2015, 8th among Research Universities, and 1st in the Midwest. U.S. News & World Report also lists Notre Dame Law School as 22nd overall. BusinessWeek ranks Mendoza College of Business undergraduate school as 1st overall. It ranks the MBA program as 20th overall. The Philosophical Gourmet Report ranks Notre Dame's graduate philosophy program as 15th nationally, while ARCHITECT Magazine ranked the undergraduate architecture program as 12th nationally. Additionally, the study abroad program ranks sixth in highest participation percentage in the nation, with 57.6% of students choosing to study abroad in 17 countries. According to payscale.com, undergraduate alumni of University of Notre Dame have a mid-career median salary $110,000, making it the 24th highest among colleges and universities in the United States. The median starting salary of $55,300 ranked 58th in the same peer group.",Where did U.S. News & World Report rank Notre Dame in its 2015-2016 university rankings?,32,18th overall,"The Mendoza College of Business is the business school at the University of Notre Dame in Notre Dame, Indiana. It offers undergraduate and graduate degrees.",U.S. News World Report Notre Dame university rankings 
